eggNOG	KO
KOG3494	K00419
KOG0007	K12825
KOG3945	K17981
29N8N	K05418
2C1UA	K14619
KOG2798	K19787
KOG2595	K20372
KOG0668	K03097
COG5119	K12260
2CMNT	K01446
2D1AS	K04257
2CJRI	K12959
COG5432	K10627
28HYX	K18086
2CMEK	K18744
28Q16	K04270
KOG2494	K14943
KOG2252	K08026
2CNI5	K12337
KOG0401	K03260
2CMDF	K21347
KOG2986	K17807
2CH31	K04895
KOG4353	K14285
KOG3440	K00417
KOG2562	K11583
2ETE7	K18193
2ES1V	K22191
2CM93	K22190
KOG4640	K03351
KOG2381	K13711
28IAT	K17580
28S90	K08419
KOG1879	K11718
28IYV	K16470
KOG1616	K07199
2BWXB	K16756
KOG4012	K11275
28P48	K01065
2982H	K07984
28XQW	K16586
2CEBP	K15179
KOG3899	K22380
KOG0396	K18624
KOG3572	K20404
28JBG	K18728
28MF1	K01047
KOG1043	K17800
KOG4775	K16489
KOG0768	K15111
KOG3221	K08051
2CMH6	K08426
KOG2347	K17637
2CN7W	K09445
28K77	K17581
2CBZQ	K18184
28HI2	K03121
2A8NQ	K12170
KOG1938	K20305
KOG4737	K19514
KOG1875	K15156
2CXYH	K04276
2E0GZ	K05269
29CK6	K22235
KOG3809	K19680
KOG0155	K12824
KOG3238	K05019
KOG4072	K12947
28PKK	K11657
KOG2896	K21249
KOG3917	K00733
KOG1685	K14775
2CY6X	K19363
2E8KR	K05153
KOG2859	K10879
KOG2412	K18723
COG2106	K09142
COG1864	K01173
KOG2675	K17261
28NMI	K10637
KOG2033	K20288
COG5177	K14799
28JDS	K10318
2E80A	K02268
KOG4764	K10881
2CH15	K04866
2CNDH	K17656
KOG4380	K15433
KOG1452	K20655
2A34R	K16585
2CFGF	K19531
2EA3E	K21626
28KPX	K19407
KOG2425	K16912
2AZNY	K05163
KOG1755	K05759
KOG4104	K17411
2D48S	K03958
2CYS2	K11511
2BN89	K05238
29GUR	K02310
2CTF9	K02970
28UV5	K17711
KOG4570	K17406
2E3U6	K12648
2C823	K19024
KOG1258	K13217
2CCFZ	K16460
2E8XF	K16800
COG4188	K01062
KOG3536	K12474
28J2D	K19874
2A01J	K15294
COG1245	K06174
2CYC7	K21987
2CI8M	K22031
28KG9	K21110
28J8I	K12650
2F9BQ	K04257
KOG0669	K02211
KOG3029	K05309
2ASP5	K06526
29WR0	K22196
2CBTY	K20399
2C43D	K15411
2CMFQ	K21436
KOG3444	K20301
KOG2594	K14169
28NZF	K08009
28IR0	K10308
28KTG	K10155
COG5093	K10733
KOG1871	K11841
KOG4117	K19765
KOG2449	K00140
KOG4402	K21775
KOG3840	K10482
KOG1274	K11274
2CMSH	K10311
KOG4398	K17889
2CA2I	K17282
KOG3118	K14767
2C929	K17107
KOG0440	K06685
KOG1874	K12879
29NSV	K12465
2CUR6	K04257
KOG4469	K20477
29S7E	K07935
KOG0963	K09313
KOG3959	K10766
2CMG8	K06058
28KI4	K19928
28YNY	K14316
KOG3650	K20316
KOG0316	K13124
28M2C	K16611
KOG3825	K01158
2DZYB	K19535
COG1867	K00555
COG5134	K13115
KOG3171	K08327
KOG4674	K09291
28P87	K16588
KOG3402	K06170
28NIZ	K21774
2BVVY	K07992
KOG3200	K10768
KOG3206	K17262
KOG2202	K12836
2BZJI	K06817
KOG3926	K10305
KOG3261	K21286
KOG1092	K20360
KOG0181	K02726
KOG3743	K06053
2C49P	K11510
KOG2575	K03848
KOG1507	K11279
KOG1008	K20407
2C92U	K10740
28PQX	K04305
KOG4421	K17562
KOG2291	K12666
KOG3068	K12870
290VG	K13295
2CN35	K06818
28K64	K20909
KOG4292	K14616
KOG2479	K03251
2CN0M	K19470
KOG4709	K14851
KOG3677	K15029
KOG4111	K17769
KOG2934	K15235
2C9I6	K05948
KOG0311	K10695
2A0I0	K06752
2CA0K	K06752
KOG0174	K02738
2CXC6	K06752
KOG3962	K13122
2CMS0	K16537
KOG2199	K04705
2CMJ7	K05155
28IDA	K17592
2BJM6	K04896
2E9X6	K04894
KOG1839	K03255
KOG0295	K16794
2BACI	K11500
2CG80	K17414
COG1936	K18532
2BWA3	K06088
COG5151	K03142
KOG4327	K13129
COG5118	K15198
KOG4112	K12946
28IJX	K16452
28NNA	K19361
COG5242	K03143
KOG1692	K20347
KOG4713	K16775
KOG4256	K11577
KOG2673	K13128
KOG3270	K12185
KOG2501	K17609
2CH2R	K13132
KOG2180	K20299
2CIRI	K06457
arCOG07452	K14459
KOG1961	K20298
KOG1272	K14768
28IP9	K08058
28JDB	K02308
COG1324	K03926
2C07P	K17682
KOG3948	K14291
2AG3V	K10425
2E85F	K05512
290M0	K05056
2CN7Q	K05059
KOG4672	K12866
2CQM0	K19481
2E3FS	K05454
KOG3039	K13125
28M8I	K05411
28J9E	K15168
2A418	K16184
2CNG0	K12558
KOG3739	K20410
KOG4413	K06692
2CZM7	K03947
KOG3186	K13728
KOG2785	K14816
KOG2140	K13100
2CMDI	K12419
KOG2642	K03850
KOG0312	K15682
28PFJ	K21872
KOG1747	K08870
2FCJQ	K05427
2CNCF	K09236
KOG4066	K15901
2BVYT	K17930
KOG0413	K11491
28MC8	K06785
KOG1548	K13093
2C0SP	K05260
KOG2447	K12667
2B5V3	K11544
2CN7R	K19872
2CYU4	K16773
KOG3034	K15262
2CN6N	K08106
28X0K	K15010
2CMBQ	K10292
296VW	K16528
KOG2510	K11653
KOG4620	K18167
COG2174	K02915
KOG3058	K04714
KOG1093	K17544
KOG3790	K15447
KOG3956	K22290
2D6N3	K05230
KOG0131	K12831
28N4K	K18448
KOG2897	K11664
COG5148	K03029
KOG0918	K17285
KOG3972	K06172
2C0RU	K21599
KOG2186	K15263
KOG3894	K08492
28MV4	K19605
28JXR	K14020
2BN1B	K08366
28I7R	K18616
2CM38	K19608
KOG3194	K02830
COG5154	K14820
28VAU	K05081
2D1MB	K05072
KOG2120	K03875
KOG4180	K00858
KOG0717	K09506
KOG3162	K02963
KOG4038	K13758
COG5116	K03032
28PZX	K08413
KOG2409	K14786
2CNER	K04292
KOG0122	K03248
KOG3493	K13113
KOG2260	K09554
KOG2963	K14859
COG2451	K02917
2CHK0	K17298
2ESAT	K17045
2CU50	K04257
2D7NW	K04257
2CYGP	K12798
2A0RB	K11543
KOG4460	K14318
KOG4024	K15414
KOG2130	K11323
2DXWG	K17274
2E0SV	K18626
KOG2976	K08339
2CMTC	K21108
COG1505	K01322
KOG2117	K13206
2E2KQ	K05225
KOG0282	K12816
KOG0666	K02208
2CR10	K21443
KOG3511	K12388
COG5248	K03127
2CN4Y	K04446
KOG1194	K11829
KOG1746	K12668
2D8JK	K04257
KOG3966	K10134
28MJH	K16752
KOG2441	K06063
KOG2086	K14012
COG5230	K10732
28W3C	K16477
2D918	K13903
28N9V	K06702
2907V	K16539
KOG0997	K20195
2EVAD	K07362
KOG4560	K15199
KOG1345	K08858
2EQG5	K06465
2CNEF	K05157
2C8MI	K11509
KOG3796	K06580
2CD5V	K19331
KOG4515	K20819
2CSTD	K11001
KOG3941	K04405
KOG3314	K18156
28IKD	K15259
KOG4490	K13251
28KM0	K21052
KOG2021	K14288
KOG0520	K21596
2EYWF	K10035
KOG4057	K15131
28I3T	K16913
2CYAA	K19770
298IM	K15307
29EWX	K05474
COG5099	K17943
28JWT	K12387
KOG2041	K19674
2E2MK	K22001
28PNN	K16894
KOG3151	K03031
KOG3252	K15028
KOG1681	K12663
2CK0P	K19935
2CTAM	K16352
29YH4	K17403
KOG1690	K20346
28IUA	K16766
COG5112	K14821
2DAZ5	K06488
2DE14	K04526
2BYCZ	K17359
29UCF	K14615
2EGHY	K04257
KOG4592	K12617
KOG4316	K02916
KOG1854	K17785
KOG4422	K17659
28JF2	K10106
KOG2026	K12847
KOG2773	K14782
2A93T	K11111
COG1374	K07565
KOG2069	K20295
28IW7	K11803
KOG2054	K14544
KOG1655	K12198
2C0R8	K09555
2BYUP	K18634
2C5Z5	K10893
2DDDB	K14014
KOG3883	K17197
COG1632	K02877
KOG2141	K17583
2AFM5	K06087
28HEU	K03504
28I5E	K17280
29CS5	K20805
2CMAI	K19483
2C509	K15193
KOG2211	K20292
KOG2932	K15685
KOG3623	K09299
2AEQE	K05235
KOG0226	K12885
2CRXB	K06593
KOG4098	K09549
KOG3357	K12165
2ETNQ	K08758
KOG4815	K16513
28Q6V	K06089
28IB0	K15045
KOG3887	K16186
2DHRP	K17434
KOG2161	K01228
KOG3339	K07441
2934I	K03901
28PRW	K10889
2E07J	K22019
29IGA	K16753
KOG3550	K19931
KOG3458	K03952
KOG4604	K17784
2C9I3	K19558
KOG1571	K15688
KOG2754	K12670
KOG1776	K10691
KOG3174	K10365
2CNAH	K13717
KOG4158	K05688
KOG0755	K15117
KOG0615	K06641
KOG2232	K12349
29NWV	K12967
2D3WQ	K17303
KOG2006	K20476
2D12A	K12672
KOG2229	K14856
2E7ES	K22267
KOG3091	K14308
COG1618	K06928
2C82B	K16534
KOG4043	K15137
KOG3480	K17778
COG5165	K09272
2D26P	K04257
2CMU1	K08230
KOG0909	K01456
KOG2445	K14299
28I88	K08470
KOG2830	K17606
28Y5Q	K07210
2CZV3	K15902
KOG2894	K13119
KOG3868	K03662
KOG2847	K13511
2DFM0	K12569
KOG4088	K04571
KOG1962	K14009
2AEDW	K16590
2E2R5	K11581
KOG1019	K21773
KOG0293	K22382
KOG3360	K01512
KOG4461	K17409
28HFQ	K05717
KOG0281	K03362
28NFJ	K10262
KOG2373	K17680
KOG3698	K15719
2D9CG	K15902
2CM5X	K20396
2C77I	K06510
KOG3156	K22137
2D0BZ	K19536
KOG2359	K11490
28MWM	K20070
KOG2516	K03847
KOG1573	K00469
29VU7	K04006
28MCR	K09627
28J2M	K00505
2CYK4	K03159
2CZRM	K05144
COG5225	K14852
KOG4045	K17432
2CN05	K08410
KOG4063	K13443
2CY6E	K16859
29UNR	K19675
KOG2400	K17602
KOG3679	K19398
KOG3640	K18621
KOG3691	K06111
2CRM8	K10882
28VAI	K16605
KOG3758	K20293
KOG3483	K12162
28PSD	K06061
28I9A	K06267
KOG0344	K14779
KOG2066	K20184
2CJKX	K08429
KOG1851	K06699
2C8ZS	K08417
2D2SM	K16932
2AX40	K11545
KOG1761	K03104
2B79Z	K17460
2E9FE	K03967
KOG4102	K17553
2D364	K17270
KOG0290	K11805
KOG1199	K08683
28MM6	K04236
KOG2678	K08507
28HN2	K20776
KOG4368	K12841
KOG4134	K03004
KOG2695	K11799
KOG2253	K12822
2EP47	K05447
28ZGA	K15485
2E3KQ	K04726
KOG2184	K13103
2EPCS	K05472
KOG0866	K15304
KOG1676	K13210
2DS1J	K03956
28K8Q	K16895
2CMEJ	K21412
KOG4609	K15637
KOG2154	K14771
KOG2753	K15030
KOG0292	K05236
KOG2657	K06171
2CI3P	K06536
2BWXP	K20189
COG5090	K03139
KOG3002	K04506
KOG2604	K20290
28P66	K12484
KOG3391	K14324
KOG4612	K02914
KOG3150	K20726
2D3MR	K19994
28ME1	K21124
KOG2175	K17491
2CNAE	K05625
KOG2669	K15559
KOG4524	K20403
KOG2734	K12864
KOG2662	K16075
28NIM	K06791
KOG4386	K20308
28PJ7	K10153
2BKGH	K11513
KOG3158	K15730
COG1308	K03626
KOG4838	K19362
2EGVJ	K04257
2F7YC	K04257
29KQH	K04257
KOG0533	K12881
29VQ4	K13340
KOG2609	K12868
KOG1883	K15166
KOG4040	K03964
KOG1976	K01106
KOG1446	K14962
2AAV2	K15203
COG5106	K14847
28Z0Q	K08175
2C75I	K12484
KOG2910	K12195
KOG1517	K07204
28KJ8	K16540
KOG3059	K03859
28Z6D	K19748
28KDP	K03902
2ABMV	K22194
KOG1510	K15152
KOG3556	K08601
2CN06	K03213
28K2S	K11298
KOG2469	K01081
29KS3	K15624
2E06Z	K17658
KOG1586	K15296
KOG0291	K14558
KOG3911	K14849
2CR1X	K03944
KOG3914	K15443
KOG4350	K10481
KOG3673	K14589
2D1KN	K17400
2D335	K06710
KOG1931	K20307
28K7T	K03908
KOG4548	K17427
KOG2558	K10571
28NBU	K06792
29YXY	K17253
KOG4553	K10895
2A2SV	K08768
KOG4613	K16741
KOG0110	K14787
KOG3495	K02135
KOG4338	K14462
KOG2591	K18763
2CJ57	K05428
KOG4315	K13101
28IRP	K16748
KOG4429	K20126
KOG1139	K11978
28NHU	K15143
2EEJN	K04257
2D29C	K05420
2D8BT	K04257
28PFI	K04257
KOG1036	K02180
2D9GM	K09784
2B61B	K09782
2APXD	K09783
28JXE	K19677
KOG1174	K03354
KOG3155	K05756
KOG1534	K06883
28JUC	K12459
KOG0804	K10632
2CN93	K19382
28N8I	K08497
KOG4172	K01931
28KYM	K16544
2CDQP	K05438
KOG2218	K20474
KOG2664	K15210
28JG7	K16467
2E1Y0	K05852
28NCY	K19402
2CHJ8	K05434
KOG4337	K14463
2E2SI	K13361
28U3Z	K04845
2E9NK	K13364
2D9A3	K13362
2EACS	K05405
KOG4449	K17771
28W1G	K14321
2BVR2	K05232
2CM7Q	K16316
KOG3635	K07190
2CN4X	K03916
2BVDZ	K10128
KOG1702	K18267
2CNCB	K11138
KOG1273	K14961
COG5071	K03035
28IE5	K20135
28VET	K02832
KOG4502	K19385
KOG1897	K10610
KOG0289	K10599
KOG4538	K14822
2ADGP	K06455
2CN8I	K06456
2CXNA	K19926
2D180	K22189
2CXQB	K22190
KOG3322	K01164
KOG3928	K17408
2C7ZW	K08438
28KYF	K18499
KOG3434	K02891
2D2NP	K06087
KOG4454	K13188
28UVS	K06781
2CNJE	K00277
KOG4046	K03538
KOG3439	K08336
KOG4064	K00456
2BYVP	K05409
2D57W	K05471
2CMPE	K09292
KOG0547	K17768
KOG1107	K18468
KOG4557	K02608
KOG4550	K17257
2D0PS	K10032
KOG4531	K12593
KOG4148	K18172
2CH4X	K11506
KOG2809	K11135
KOG4673	K20286
KOG3175	K15425
KOG3247	K14764
KOG2808	K12817
28NPU	K17558
KOG4358	K14315
2C9WK	K17418
KOG3999	K10903
2E8PM	K22289
2BVEW	K11549
KOG4582	K14381
COG5220	K10842
KOG4746	K15208
28PA5	K22154
KOG3501	K09548
2BC98	K08523
2D2TK	K04391
KOG3446	K03946
KOG2498	K13109
KOG4727	K12848
KOG0763	K15101
KOG1814	K11971
COG1913	K06974
28HZK	K16767
COG5092	K00671
2937C	K10522
KOG3582	K09113
KOG2183	K01285
KOG0095	K07917
2D36V	K18165
2A7UX	K18157
KOG2071	K14400
29D9P	K19382
28NC9	K07371
2E9XS	K19923
KOG3760	K01793
KOG1699	K03377
2CHYE	K01045
2BVQJ	K05239
28KHM	K22499
2CYBZ	K12799
28I93	K06085
29TK7	K07368
2CU0F	K05028
28K57	K16362
KOG3933	K17413
28HYA	K20243
28NYP	K16724
KOG3281	K07555
KOG4763	K00416
28HNY	K16490
KOG4561	K12360
KOG1173	K03353
28KM8	K05464
KOG1560	K03247
COG5384	K14559
KOG2143	K15363
28NZV	K19465
KOG1660	K17920
KOG0126	K13107
28KEV	K19655
KOG4717	K08802
2CMB4	K22237
KOG0766	K15118
2CNEM	K04192
KOG0308	K15361
2C5B9	K04493
KOG3061	K11599
KOG3741	K12572
2CMU0	K17284
KOG4495	K03873
KOG1869	K13172
KOG0649	K13175
2BX70	K05149
2BPY3	K16338
KOG4697	K20318
KOG2407	K05292
KOG1837	K14550
KOG3250	K12180
2C23Y	K12336
29KQV	K07985
KOG1927	K11671
2BZ8U	K08063
2CYGS	K08039
KOG2546	K05751
28JAN	K08371
2CN04	K21348
28Q10	K02583
KOG3341	K12188
2E0J8	K05258
28JJX	K06105
2C9RZ	K19757
COG5185	K11547
28K45	K06249
2CNB4	K06058
2DMTJ	K03948
KOG3835	K22388
2CYGT	K05240
2CMY6	K04242
2BG5V	K06514
2CNHQ	K12010
2CNBP	K06534
28HGD	K15181
2C80T	K12334
KOG3268	K10606
28MBS	K20773
KOG3312	K21891
KOG2389	K14649
2CMPP	K19865
2E34Z	K13768
2CJPF	K16143
29KSZ	K04257
2D8BR	K04257
KOG3893	K05284
2C3NR	K06574
28KAK	K21361
KOG4712	K10891
2CHT7	K05752
2CH1X	K05254
KOG1332	K14004
KOG4710	K03871
KOG1784	K12627
2CD5F	K16762
2DJAV	K05247
2AXKB	K05146
2E608	K05248
2C46V	K16478
2C6U4	K08467
COG1341	K06947
COG2020	K00587
28HJ5	K01794
28KDA	K19756
KOG3949	K11375
2BVRB	K21404
2B7QB	K17308
KOG0870	K02326
2DAUF	K03359
2BYG2	K06565
2CN8E	K08390
COG5062	K05283
28N25	K22144
2D2MN	K07604
KOG3352	K02265
KOG3435	K17435
KOG2050	K14844
2CH1Y	K05255
KOG1127	K12600
KOG3046	K15151
28JW6	K12656
2CM8F	K16484
2CDUK	K06567
29D5A	K16764
KOG2115	K17600
2CA0B	K13145
KOG2849	K14648
2B1IH	K15380
2CM0K	K13164
KOG2863	K18328
28JQU	K16802
KOG3412	K02903
2C45B	K05137
KOG4110	K03938
2D1ED	K04257
2CNET	K04257
2EV19	K04257
2CN51	K04257
2CPS7	K04257
28KMC	K15259
KOG4002	K20724
KOG2824	K17479
2DW2B	K19943
KOG2208	K18756
28IMN	K15049
2C9V7	K17402
28P9P	K13150
KOG4485	K04658
2CZYP	K17269
COG2443	K07342
KOG2053	K17973
28K2V	K09586
2CIQ0	K13213
28N3Y	K19539
28V31	K19324
KOG4546	K13335
KOG2954	K03454
COG5057	K17605
2CMYW	K16776
KOG4833	K14311
KOG2730	K14292
COG5231	K02144
2AKPK	K04937
28NI6	K07361
2EX3W	K21100
KOG3973	K15434
KOG4025	K18269
KOG3368	K20300
2CMSK	K16468
2CNAT	K16453
COG1818	K06963
2CM8G	K21988
2D3J0	K08067
KOG3407	K12871
28R39	K08116
COG5259	K11649
2CZHT	K13916
28KR2	K10267
2C5I5	K10135
28VC3	K05257
KOG3363	K09008
2BXBA	K16607
KOG3781	K06265
KOG0827	K11985
28Q2W	K12805
COG1355	K06990
2C9JS	K05249
KOG2148	K19983
KOG2376	K03108
KOG1640	K12345
KOG2163	K11578
28I44	K16457
KOG3112	K11876
KOG1975	K00565
KOG3517	K09382
28IBG	K16725
KOG0294	K14830
2C1XV	K20187
28PEY	K13156
KOG3801	K22069
28JWQ	K14530
KOG1631	K13249
29NG3	K06469
28J7Q	K18849
2CXZ8	K06454
KOG3366	K02138
COG2930	K20523
KOG0021	K21456
KOG4378	K16547
28MBG	K20066
2CH4K	K21765
COG5088	K15153
KOG0640	K14406
KOG0647	K14298
2ENFF	K12965
KOG3654	K17493
KOG2047	K12867
KOG4702	K18186
2CAGT	K13438
COG5128	K20280
28JT1	K20058
28NWK	K15213
2EGW9	K04257
2CWAF	K04257
29KQM	K04257
2D1PU	K04257
2EGJA	K04257
2D8C0	K04257
2D8JC	K04257
2EBJ7	K04257
2E04P	K13136
2CMKU	K16480
28HRH	K14617
28Q40	K09110
28VXH	K10434
2CBS5	K03957
KOG2935	K11863
28I90	K08408
COG4336	K22210
2DATP	K02273
KOG2838	K10479
KOG2752	K11979
28IF7	K00913
2AM8N	K19990
28SG4	K16893
28RWV	K18400
2CH50	K01481
2CMIF	K16469
KOG2500	K20069
COG1500	K14574
KOG4791	K22415
KOG4113	K19952
296DT	K03906
KOG2434	K15216
2BZMG	K13173
29PRF	K05476
KOG4335	K17705
KOG4784	K20803
2AHDA	K05141
2EI86	K05145
KOG0491	K10164
KOG0686	K12175
KOG1207	K03331
2E1Z5	K15360
KOG4287	K19882
COG5100	K14015
2CJRQ	K10993
28PT5	K18412
KOG3639	K19352
2CMY4	K15141
COG5218	K06678
2C76U	K06846
2FCKS	K06846
2C6E8	K05256
28M9N	K16771
KOG3053	K10660
COG1503	K03265
COG5179	K03125
2BVGA	K05070
2AXJS	K06786
KOG4253	K22384
28M6K	K11875
28PWP	K10886
KOG4741	K17888
28JUA	K17482
KOG3470	K17292
28IX3	K04234
2CN3R	K03914
28PVD	K04235
2CN96	K16483
KOG0268	K11806
COG1499	K07562
2E17I	K05406
KOG2027	K19476
KOG3674	K14590
KOG0212	K15305
KOG1898	K12830
KOG0412	K20291
KOG1645	K15691
28HT9	K17570
2C1IN	K11670
28N4J	K04871
COG5665	K12580
KOG1880	K13216
COG5235	K10739
2CN3N	K04279
KOG1150	K09528
2CYI9	K22255
KOG3264	K15135
COG5624	K03126
KOG1034	K11462
KOG0080	K07910
KOG0445	K10369
2C3GD	K08080
KOG3152	K14785
KOG2182	K09649
KOG3785	K19685
COG5200	K13212
28J37	K15259
KOG4786	K17492
COG0478	K07179
KOG1009	K10751
28IXB	K06087
28KUN	K18623
2CC1T	K18401
KOG2293	K11674
KOG3564	K16733
2E688	K18181
2C3IK	K16749
2CYH5	K05224
2E7RM	K10131
29NED	K05429
KOG4322	K03352
KOG3907	K14715
KOG4373	K20777
KOG4227	K11800
KOG1811	K19027
KOG1666	K08493
COG1093	K03237
KOG4551	K03858
2E0KM	K09283
KOG1824	K17263
KOG3333	K02881
KOG0006	K04556
KOG0278	K13137
28IRR	K19469
2EBX1	K04257
2BVFW	K17431
COG2004	K02974
2AIGZ	K22145
KOG2796	K20309
KOG0321	K11790
KOG2340	K14774
2ABIQ	K06474
2CMB0	K04007
KOG1988	K13144
29MUN	K05077
KOG1608	K14010
KOG3317	K13250
KOG4107	K20398
KOG0765	K15121
2CBMY	K11546
KOG1904	K16641
KOG3903	K13105
2CSZP	K08273
2EDZY	K06448
COG1890	K02984
28Q3K	K00678
KOG0285	K12862
28Y9E	K04299
28KVU	K08441
28P9I	K10042
KOG0844	K09320
KOG3027	K17776
28Z7A	K04290
2CRIM	K10267
COG5271	K14572
KOG4416	K16810
2BVGM	K03898
KOG2601	K14685
KOG2076	K15201
KOG3724	K05294
KOG1963	K14552
KOG4059	K00682
28K8I	K22188
KOG2138	K13123
KOG2966	K20858
28IH8	K01047
28JG0	K05162
2BXIJ	K04528
28K9N	K16584
KOG0121	K12883
KOG4123	K08098
KOG4804	K18575
28KT2	K19752
2FA9S	K06725
KOG3473	K03872
KOG4478	K17966
2B5RJ	K16817
KOG3096	K12861
KOG3251	K08496
28KV3	K16834
2CMV5	K01084
KOG2612	K11363
2CHCC	K15189
2BVE5	K05233
2CA2A	K04898
2929X	K22076
KOG1842	K12481
KOG4079	K17404
KOG3460	K12622
29P5N	K05253
COG5535	K10838
28N44	K05620
KOG2280	K20180
KOG1949	K11492
2CMCI	K13133
COG5228	K12581
COG1026	K06972
2AYV7	K16591
COG1084	K06943
2DEX6	K06250
KOG4195	K13988
2AC3A	K11497
KOG1902	K20100
2C81X	K19895
29MGG	K16769
KOG2760	K12190
28KG2	K17410
2DM4R	K14216
2CMF4	K19192
COG5250	K03012
28PIP	K08404
COG5139	K17498
2DCCZ	K06576
KOG1539	K14554
2FDBB	K05436
2E0IN	K19399
KOG0403	K16865
COG5187	K03037
KOG3215	K13176
KOG3543	K19933
KOG1063	K11374
COG5195	K11667
KOG1445	K18619
KOG0561	K09108
28KUX	K18343
KOG0114	K12833
KOG3427	K12865
KOG4312	K00181
KOG4826	K01824
2D737	K22190
2DAYR	K08090
KOG4414	K12181
KOG3671	K05747
KOG3365	K03949
KOG4444	K13336
KOG0127	K14573
2DCIM	K05424
28JYW	K17456
28HRG	K20281
KOG2727	K19937
KOG3718	K05940
KOG4523	K20822
28J41	K06853
KOG2300	K11266
KOG0302	K14848
COG1727	K02883
2DZKW	K14019
28V02	K08899
28IZP	K19991
KOG1416	K03256
28SNG	K16476
KOG1891	K16686
KOG3864	K07554
KOG3818	K02325
KOG4356	K19751
KOG2791	K00736
COG5601	K12605
KOG1964	K14301
KOG0088	K07890
KOG4849	K14398
KOG4611	K19348
KOG0643	K03246
2C76C	K11878
KOG0280	K17868
KOG4756	K17422
2C1MK	K15180
2BFAF	K16780
KOG4440	K05208
2CYU6	K01830
2B6BE	K03999
28KZW	K10263
2CUCZ	K01112
2CP4A	K12794
COG1813	K03627
28IDF	K12174
KOG4099	K17986
2CXH8	K05132
KOG1846	K17572
2CN1V	K10433
2CY85	K05139
KOG4671	K10136
COG5138	K10734
2CNB8	K17573
KOG0341	K13116
28NSF	K22385
2C80S	K10033
29XGJ	K20778
KOG0938	K11826
KOG2762	K03845
COG5110	K03028
KOG3400	K03016
2BVR0	K06854
KOG2079	K20178
28IT9	K04657
KOG1733	K17781
2D9XK	K04257
29KT5	K04257
2CWA1	K04257
2EC2S	K04257
COG2102	K06927
28UEW	K12654
2A5I7	K12387
KOG1634	K17596
KOG0265	K12857
2C2Y6	K20193
28NZS	K19368
KOG1967	K15075
COG1096	K07573
KOG1248	K14794
KOG4816	K11792
28JV2	K12230
2E20A	K17773
KOG4183	K03005
KOG2139	K14320
COG1730	K04797
COG5155	K02365
COG2105	K19761
28Z38	K16488
28MA8	K17698
KOG3694	K08267
COG5308	K14312
KOG1020	K06672
28PUZ	K04000
KOG2758	K03250
KOG1789	K09533
28KWG	K10379
2C21P	K20821
KOG2181	K15617
28JX8	K20192
2CMHQ	K07755
28KPA	K06229
KOG1006	K04430
28WZA	K16761
2FC5T	K05432
KOG4309	K13528
2CFQ8	K17772
2EJB5	K14364
2D3M6	K14363
COG5224	K08064
293ET	K18772
2CW2G	K14378
KOG3485	K12832
KOG2637	K14798
KOG0917	K12199
29NAZ	K22039
KOG4634	K02131
28SGS	K06735
28HCA	K18412
COG5229	K06676
2CK9G	K16341
KOG1858	K03348
2F2F7	K04383
28MPK	K19657
KOG2051	K14327
28KZ6	K19946
KOG3056	K10736
KOG4446	K19332
COG5204	K15171
28KIB	K17540
KOG3692	K18734
KOG0985	K04646
COG1990	K04794
KOG1109	K21248
28HQX	K13147
29AGA	K04281
KOG0972	K04638
COG5055	K10873
KOG3789	K20405
KOG0306	K14556
29DV6	K10377
28KUC	K21554
28INT	K20478
2BU9M	K05443
KOG1183	K03860
KOG1969	K11269
KOG4346	K11137
2CMKS	K11502
28K8R	K16809
COG5108	K10908
COG5246	K12826
KOG4396	K12353
28P0U	K11499
2CMWA	K15259
2C9ZK	K16527
28JR0	K19679
COG2097	K02910
28PQ8	K05452
KOG3934	K18710
KOG3655	K20520
KOG4501	K18667
KOG4527	K02272
28HZH	K19673
2A52Q	K17559
COG5098	K06677
2BWXS	K05426
2CRDH	K21112
28K4F	K20194
2C3MX	K16471
2CM85	K00774
28JXQ	K08391
KOG2228	K02606
COG5542	K07542
KOG0310	K14549
2FCWS	K10132
2C91N	K05419
KOG2925	K15025
COG5103	K12604
KOG3207	K21768
2CJM3	K05421
2CZNI	K05142
KOG4089	K02892
KOG4049	K15622
28K8B	K13139
28N5N	K11666
2CI32	K13092
KOG1629	K21889
2A8R2	K04370
28U0V	K02311
2EW5R	K17484
COG4076	K11434
COG4290	K01167
COG0390	K02069
2E3XU	K07465
COG3479	K13727
COG3740	K06904
2CIEV	K07451
COG1794	K01779
COG3462	K08982
2BTYC	K03639
2ESWQ	K16647
COG1672	K06921
COG1912	K22205
COG3896	K18554
2DFYK	K22463
COG3078	K09894
COG2922	K03747
COG1700	K09124
COG3727	K07458
COG3106	K06918
COG3768	K08990
COG4146	K03307
COG3166	K02663
COG2861	K09798
COG3085	K09897
COG2929	K09803
COG3025	K18446
COG3066	K03573
COG2269	K04568
COG3113	K07122
COG4555	K09697
COG3524	K10107
28Q4G	K15723
2CZR5	K02399
COG1821	K06914
COG2989	K21470
COG1410	K00548
COG4171	K19228
2CJWQ	K03970
COG4656	K03615
COG3057	K03645
COG3603	K09707
COG5338	K20920
COG1596	K01991
COG5135	K00275
COG3092	K09899
COG4785	K05803
COG3083	K07014
COG3082	K09904
COG3311	K07733
COG2956	K19804
COG3771	K08992
COG2916	K03746
COG3668	K19092
COG3609	K07746
COG3101	K09906
COG3067	K03314
COG3065	K07285
28P0Z	K19058
2E78T	K02030
COG3806	K07167
