,bin_names,K00626,K01848,K01849,K01964,K05606,K14465,K14466,K14534,K15016,K15018,K15019,K15020,K15036,K15037,K15038,K15039,mOTU,gtdbtk_classif_r207,percent_completion
91,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3a_bin-390,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_043,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__UBA7359;s__UBA7359 sp905182825,94.3661971830986
92,SRR11627979.16,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_172,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA2110;s__UBA2110 sp012960315,77.46478873239437
93,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3a_bin-245,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_364,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;s__Sulfitobacter pontiacus,87.32394366197181
94,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3b_bin-448,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_902,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__UBA11791;s__,76.05633802816901
95,bulkbins-MOSAIC-MIME-BINNING-3003_bin-37,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_381,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA974;s__,85.91549295774648
96,SRR10912826.4,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_154,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus_B;s__Rhodococcus_B sp001942265,69.01408450704226
97,SRR10912825.25,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,COMPLETE-SET-AND-BULK_mOTU_448,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Marortus;s__Marortus luteolus,64.78873239436619
98,ERR4691668.24,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,70.4225352112676
99,bulkbins-ODEN-2013-BINNING-all-COASS_bin-08792,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,COMPLETE-SET-AND-BULK_mOTU_770,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__HTCC2207 sp905181925,85.91549295774648
100,SRR9019759.81,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_407,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA11606;g__VXYK01;s__,35.2112676056338
101,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3a_bin-454,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_364,,1e-05
102,MOSAIC-MIME-BINNING-ClusterAss-2_bin-779,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_369,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_A;f__Rhizobiaceae_A;g__Phyllobacterium;s__Phyllobacterium sp900539805,94.3661971830986
103,MOSAIC-MIME-BINNING-ClusterAss-2_bin-591,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_154,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus_B;s__Rhodococcus_B sp001942265,92.95774647887325
104,SRR11563580.60,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_097,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__JAENVV01;g__;s__,60.56338028169014
105,SRR9019759.13,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,COMPLETE-SET-AND-BULK_mOTU_088,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4582;s__UBA4582 sp905182025,1e-05
106,bulkbins-MOSAIC-MIME-BINNING-2803_bin-125,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,COMPLETE-SET-AND-BULK_mOTU_244,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9659;s__UBA9659 sp018665025,66.19718309859155
107,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-1_bin-154,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_656,,1e-05
108,bulkbins-MOSAIC-MIME-BINNING-17_bin-36,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,COMPLETE-SET-AND-BULK_mOTU_043,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__UBA7359;s__UBA7359 sp905182825,49.29577464788731
109,bulkbins-MOSAIC-MIME-BINNING-1703_bin-044,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_535,,1e-05
110,bulkbins-MOSAIC-MIME-BINNING-2003_bin-095,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,COMPLETE-SET-AND-BULK_mOTU_253,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002712045;s__GCA-002712045 sp905182165,91.54929577464787
111,bulkbins-MOSAIC-MIME-BINNING-2703_bin-18,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,COMPLETE-SET-AND-BULK_mOTU_244,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9659;s__UBA9659 sp018665025,87.32394366197181
112,ERR3589555.42,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,COMPLETE-SET-AND-BULK_mOTU_088,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4582;s__UBA4582 sp905182025,83.09859154929578
113,bulkbins-MOSAIC-MIME-BINNING-2003_bin-037,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_426,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__UBA4592;s__UBA4592 sp905181745,66.19718309859155
114,SRR5429424.20,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_136,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995,57.74647887323944
115,SRR9039929.90,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_375,d__Bacteria;p__Acidobacteriota;c__UBA6911;o__RPQK01;f__;g__;s__,92.95774647887325
116,MOSAIC-MIME-BINNING-ClusterAss-3b_bin-457,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_380,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__;g__;s__,92.95774647887325
117,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3b_bin-177,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_024,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__SP4260;s__SP4260 sp905182415,76.05633802816901
118,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3a_bin-300,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_624,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Bin95;f__Bin95;g__;s__,91.54929577464787
119,bulkbins-ODEN-2013-BINNING-medium-COASS_bin-5997,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_770,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__HTCC2207 sp905181925,61.971830985915496
120,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-2_bin-263,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_542,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA11873;s__,74.64788732394365
121,bulkbins-MOSAIC-MIME-BINNING-25_bin-15,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,COMPLETE-SET-AND-BULK_mOTU_397,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182325,59.15492957746479
122,bulkbins-ODIN-2013-BINNING-6_bin-15,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_397,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182325,81.69014084507042
123,bulkbins-MOSAIC-MIME-BINNING-903_bin-089,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_335,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__;s__,90.14084507042251
124,MOSAIC-MIME-BINNING-ClusterAss-3a_bin-103,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_380,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__;g__;s__,88.73239436619718
125,bulkbins-MOSAIC-MIME-BINNING-1203_bin-083,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_426,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__UBA4592;s__UBA4592 sp905181745,91.54929577464787
126,SRR5819552.76,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,50.70422535211269
127,ERR5006264.22,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_368,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__UBA9611 sp012959605,46.478873239436616
128,bulkbins-MOSAIC-MIME-BINNING-1703_bin-104,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_475,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182455,71.83098591549296
129,ODIN-2013-BINNING-22_bin-05,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,COMPLETE-SET-AND-BULK_mOTU_088,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4582;s__UBA4582 sp905182025,26.76056338028169
130,bulkbins-MOSAIC-MIME-BINNING-1503_bin-091,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_335,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__;s__,83.09859154929578
131,ERR599166.46,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_136,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__REDSEA-S09-B13;s__REDSEA-S09-B13 sp002456995,70.4225352112676
132,bulkbins-ODEN-2013-BINNING-COASS_bin-6287,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_512,,1e-05
133,SRR10912890.18,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_360,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__Parvibaculaceae;g__Parvibaculum;s__,81.69014084507042
134,bulkbins-MOSAIC-MIME-BINNING-1603_bin-052,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_265,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-2697345;s__GCA-2697345 sp905181985,88.73239436619718
135,bulkbins-MOSAIC-MIME-BINNING-2603_bin-076,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,COMPLETE-SET-AND-BULK_mOTU_253,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002712045;s__GCA-002712045 sp905182165,95.77464788732394
136,SRR10912860.8,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_292,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA2110;s__UBA2110 sp002331465,73.23943661971829
137,MOSAIC-MIME-BINNING-ClusterAss-3b_bin-375,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_033,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__GCA-013693735;s__,98.59154929577464
138,bulkbins-MOSAIC-MIME-BINNING-1503_bin-020,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_758,,100.0
139,bulkbins-MOSAIC-MIME-BINNING-2703_bin-39,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,COMPLETE-SET-AND-BULK_mOTU_253,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-002712045;s__GCA-002712045 sp905182165,98.59154929577464
140,MOSAIC-MIME-BINNING-ClusterAss-1_bin-069,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,COMPLETE-SET-AND-BULK_mOTU_319,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__CADEGL01;f__CADEGL01;g__JABIRQ01;s__,21.12676056338028
141,SRR9019729.58,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,100.0
142,MOSAIC-MIME-BINNING-2503_bin-040,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,COMPLETE-SET-AND-BULK_mOTU_669,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA6615;f__UBA6615;g__UBA8079;s__,1e-05
143,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-1_bin-344,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_364,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;s__Sulfitobacter pontiacus,95.77464788732394
144,bulkbins-MOSAIC-MIME-BINNING-3403_bin-56,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,COMPLETE-SET-AND-BULK_mOTU_378,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__CACPJA01;s__,84.50704225352112
145,bulkbins-MOSAIC-MIME-BINNING-2503_bin-143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_710,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__UBA11869;s__UBA11869 sp014239225,95.77464788732394
146,bulkbins-MOSAIC-MIME-BINNING-2803_bin-058,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,COMPLETE-SET-AND-BULK_mOTU_414,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides marinisabuli,95.77464788732394
147,MOSAIC-MIME-BINNING-903_bin-016,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,95.77464788732394
148,MOSAIC-MIME-BINNING-ClusterAss-3a_bin-386,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_717,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__Porticoccus;s__,60.56338028169014
149,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-2_bin-692,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_390,,1e-05
150,SRR13153429.42,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_179,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp017856985,98.59154929577464
151,SRR5262368.54,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,COMPLETE-SET-AND-BULK_mOTU_733,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__UBA9611 sp009392075,53.52112676056338
152,bulkbins-ODEN-2013-BINNING-all-COASS_bin-06281,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_397,,100.0
153,bulkbins-ODIN-2013-BINNING-13_bin-26,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_475,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182455,88.73239436619718
154,MOSAIC-MIME-BINNING-703_bin-066,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,COMPLETE-SET-AND-BULK_mOTU_179,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp017856985,94.3661971830986
155,bulkbins-MOSAIC-MIME-BINNING-2803_bin-015,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_146,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA4457;s__,87.32394366197181
156,MOSAIC-MIME-BINNING-703_bin-094,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_324,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA9040;s__UBA9040 sp905182565,64.78873239436619
157,bulkbins-MOSAIC-MIME-BINNING-31_bin-068,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_426,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__UBA4592;s__UBA4592 sp905181745,74.64788732394365
158,SRR5819607.67,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_835,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182535,47.88732394366197
159,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-2_bin-303,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_261,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA9611;s__UBA9611 sp012959605,1e-05
160,ERR4918854.58,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,100.0
161,bulkbins-MOSAIC-MIME-BINNING-31_bin-084,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_758,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_B;f__MED-G09;g__MED-G09;s__MED-G09 sp905182015,91.54929577464787
162,bulkbins-MOSAIC-MIME-BINNING-ClusterAss-3b_bin-141,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,COMPLETE-SET-AND-BULK_mOTU_414,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides marinisabuli,97.1830985915493
163,bulkbins-MOSAIC-MIME-BINNING-3103_bin-57,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,COMPLETE-SET-AND-BULK_mOTU_126,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA974;s__,92.95774647887325
164,bulkbins-MOSAIC-MIME-BINNING-1303_bin-038,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_146,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__UBA4457;s__UBA4457 sp002390205,85.91549295774648
165,bulkbins-MOSAIC-MIME-BINNING-25_bin-07,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_770,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__HTCC2207 sp905181925,50.70422535211269
166,MOSAIC-MIME-BINNING-2903_bin-134,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_089,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA6615;f__UBA6615;g__UBA6615;s__,60.56338028169014
167,ERR4918861.59,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,52.11267605633803
168,SRR5819240.25,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_278,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__SAR202;f__UBA11138;g__Casp-Chloro-G4;s__,95.77464788732394
169,ERR599166.10,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_292,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA2110;s__UBA2110 sp002331465,81.69014084507042
170,bulkbins-MOSAIC-MIME-BINNING-2303_bin-130,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_902,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__UBA11791;s__,80.28169014084506
171,bulkbins-MOSAIC-MIME-BINNING-703_bin-105,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_335,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__UBA1611;g__;s__,61.971830985915496
172,bulkbins-ODEN-2013-BINNING-all-COASS_bin-05514,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,COMPLETE-SET-AND-BULK_mOTU_627,,98.59154929577464
173,bulkbins-MOSAIC-MIME-BINNING-1303_bin-080,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_508,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182535,1e-05
174,MOSAIC-MIME-BINNING-ClusterAss-3a_bin-155,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,COMPLETE-SET-AND-BULK_mOTU_293,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__GCA-2697345;s__,100.0
175,ODEN-2013-BINNING-medium-COASS_bin-4792,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,70.4225352112676
176,bulkbins-MOSAIC-MIME-BINNING-2503_bin-085,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,COMPLETE-SET-AND-BULK_mOTU_416,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae;g__Actinomarina;s__,70.4225352112676
177,SRR9019729.136,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,COMPLETE-SET-AND-BULK_mOTU_319,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__CADEGL01;f__CADEGL01;g__JABIRQ01;s__,63.38028169014085
178,ERR3589559.13,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_088,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA4582;s__UBA4582 sp905182025,61.971830985915496
179,bulkbins-MOSAIC-MIME-BINNING-903_bin-043,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,COMPLETE-SET-AND-BULK_mOTU_475,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Planktomarina;s__Planktomarina sp905182455,67.6056338028169
180,ERR3589559.100,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,COMPLETE-SET-AND-BULK_mOTU_099,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9926;s__UBA9926 sp905182155,45.07042253521126
