members,K00297,K01491,K01938,K15022,M00377
MOSAIC-MIME-BINNING-ClusterAss-1_bin-788,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-844,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-859,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-860,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-915,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-940,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-1_bin-963,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-006,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-025,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-037,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-046,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-123,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-153,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-185,0,0,0,7,0.0
MOSAIC-MIME-BINNING-ClusterAss-2_bin-231,0,0,0,1,0.0
MOSAIC-MIME-BINNING-ClusterAss-2_bin-254,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-278,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-315,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-344,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-367,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-368,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-383,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-387,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-475,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-502,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-529,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-552,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-591,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-653,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-689,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-779,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-2_bin-804,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-034,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-039,0,0,0,1,0.0
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-103,7,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-116,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-127,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-146,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-183,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-195,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-224,1,1,0,0,0.2222222222222222
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-252,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-261,1,1,1,0,0.3333333333333333
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-279,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-308,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-322,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-323,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-346,1,1,0,0,0.2222222222222222
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-415,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-451,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-494,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-495,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-507,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-518,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-522,0,0,0,1,0.0
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-554,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-577,0,0,1,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-586,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-600,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-606,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-628,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-636,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-651,0,0,0,7,0.0
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-682,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-689,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-700,0,0,0,7,0.0
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-709,0,1,1,0,0.2222222222222222
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-711,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3a_bin-716,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-002,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-007,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-016,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-059,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-183,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-234,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-272,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-283,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-317,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-341,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-359,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-362,0,0,0,1,0.0
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-375,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-454,0,1,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-457,7,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-462,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-464,1,0,0,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-475,0,0,1,0,0.1111111111111111
MOSAIC-MIME-BINNING-ClusterAss-3b_bin-502,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-COASS_bin-3861,0,1,0,0,0.1111111111111111
ODEN-2013-BINNING-COASS_bin-4617,0,1,0,0,0.1111111111111111
ODEN-2013-BINNING-COASS_bin-4727,0,0,0,1,0.0
ODEN-2013-BINNING-COASS_bin-4763,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-COASS_bin-5191,0,1,0,0,0.1111111111111111
ODEN-2013-BINNING-COASS_bin-5328,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-COASS_bin-5373,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-COASS_bin-5444,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-COASS_bin-5449,0,1,0,0,0.1111111111111111
ODEN-2013-BINNING-COASS_bin-5711,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-COASS_bin-5962,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-COASS_bin-6447,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-all-COASS_bin-03574,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-all-COASS_bin-04055,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-all-COASS_bin-04757,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-all-COASS_bin-05414,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-all-COASS_bin-05991,0,1,0,0,0.1111111111111111
ODEN-2013-BINNING-all-COASS_bin-06156,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-all-COASS_bin-07549,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-all-COASS_bin-09674,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-11_bin-0358,0,1,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-11_bin-0501,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-11_bin-0666,0,0,0,1,0.0
ODEN-2013-BINNING-medium-13_bin-1269,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-13_bin-1376,0,1,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-13_bin-1514,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-13_bin-2026,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-20_bin-0606,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-20_bin-0761,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-22_bin-350,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-22_bin-446,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-22_bin-637,1,1,0,0,0.2222222222222222
ODEN-2013-BINNING-medium-3_bin-493,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-3_bin-552,1,1,0,0,0.2222222222222222
ODEN-2013-BINNING-medium-4_bin-0210,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-4_bin-0792,0,1,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-6_bin-378,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-6_bin-400,1,1,0,0,0.2222222222222222
ODEN-2013-BINNING-medium-6_bin-439,0,1,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-9_bin-0468,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-COASS_bin-4157,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-COASS_bin-4579,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-COASS_bin-4792,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-COASS_bin-4964,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-COASS_bin-5497,0,1,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-COASS_bin-5607,0,1,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-COASS_bin-5838,1,0,0,0,0.1111111111111111
ODEN-2013-BINNING-medium-COASS_bin-9385,1,0,0,0,0.1111111111111111
ODIN-2013-BINNING-11_bin-08,0,1,0,0,0.1111111111111111
ODIN-2013-BINNING-11_bin-26,1,0,0,0,0.1111111111111111
ODIN-2013-BINNING-11_bin-30,0,0,0,1,0.0
ODIN-2013-BINNING-13_bin-08,1,0,0,0,0.1111111111111111
ODIN-2013-BINNING-13_bin-10,1,0,0,0,0.1111111111111111
ODIN-2013-BINNING-17_bin-02,1,0,0,0,0.1111111111111111
ODIN-2013-BINNING-17_bin-13,1,1,0,0,0.2222222222222222
ODIN-2013-BINNING-17_bin-14,1,0,0,0,0.1111111111111111
ODIN-2013-BINNING-17_bin-21,1,0,0,0,0.1111111111111111
ODIN-2013-BINNING-17_bin-23,1,0,0,0,0.1111111111111111
ODIN-2013-BINNING-20_bin-07,1,0,0,0,0.1111111111111111
ODIN-2013-BINNING-22_bin-11,1,0,0,0,0.1111111111111111
ODIN-2013-BINNING-22_bin-14,0,0,1,0,0.1111111111111111
ODIN-2013-BINNING-22_bin-19,1,0,0,0,0.1111111111111111
ODIN-2013-BINNING-22_bin-21,1,0,0,0,0.1111111111111111
ODIN-2013-BINNING-3_bin-05,0,1,0,0,0.1111111111111111
ODIN-2013-BINNING-3_bin-13,1,0,0,0,0.1111111111111111
ODIN-2013-BINNING-3_bin-16,1,0,0,0,0.1111111111111111
ODIN-2013-BINNING-4_bin-04,0,0,0,1,0.0
ODIN-2013-BINNING-4_bin-13,0,1,0,0,0.1111111111111111
ODIN-2013-BINNING-4_bin-26,1,0,0,0,0.1111111111111111
ODIN-2013-BINNING-6_bin-10,1,0,0,0,0.1111111111111111
ODIN-2013-BINNING-6_bin-22,1,0,0,0,0.1111111111111111
ODIN-2013-BINNING-6_bin-29,0,1,0,0,0.1111111111111111
ODIN-2013-BINNING-6_bin-35,0,0,1,0,0.1111111111111111
ODIN-2013-BINNING-9_bin-06,1,0,0,0,0.1111111111111111
SRR10912806.5,0,0,0,1,0.0
SRR10912821.4,0,0,0,1,0.0
SRR10912822.14,0,0,0,1,0.0
SRR10912825.10,0,1,0,0,0.1111111111111111
SRR10912825.25,0,1,0,0,0.1111111111111111
SRR10912826.10,0,1,0,0,0.1111111111111111
SRR10912828.14,0,0,1,0,0.1111111111111111
SRR10912831.5,0,1,0,0,0.1111111111111111
SRR10912835.20,0,1,0,0,0.1111111111111111
SRR10912843.8,0,1,0,0,0.1111111111111111
SRR10912844.19,0,1,0,0,0.1111111111111111
SRR10912860.16,0,0,0,1,0.0
SRR10912860.17,1,0,0,0,0.1111111111111111
SRR10912861.13,0,0,0,1,0.0
SRR10912861.16,1,0,0,0,0.1111111111111111
SRR10912861.18,0,1,0,0,0.1111111111111111
SRR10912868.18,1,0,0,0,0.1111111111111111
SRR10912868.28,0,0,0,1,0.0
SRR10912868.3,0,1,0,0,0.1111111111111111
SRR10912868.35,1,0,0,0,0.1111111111111111
SRR10912869.21,0,0,0,1,0.0
SRR10912870.17,0,0,0,1,0.0
SRR10912870.6,1,0,0,0,0.1111111111111111
SRR10912874.11,0,0,0,1,0.0
SRR10912875.6,0,0,0,1,0.0
SRR10912886.26,1,0,0,0,0.1111111111111111
SRR10912886.29,0,1,0,0,0.1111111111111111
SRR10912887.10,1,0,0,0,0.1111111111111111
SRR10912887.5,1,0,0,0,0.1111111111111111
SRR10912888.15,0,0,0,1,0.0
SRR10912888.4,1,0,0,0,0.1111111111111111
SRR10912888.7,1,0,0,0,0.1111111111111111
SRR10912889.11,1,0,0,0,0.1111111111111111
SRR10912889.7,0,0,0,1,0.0
SRR10912890.1,1,0,0,0,0.1111111111111111
SRR10912890.11,1,0,0,0,0.1111111111111111
SRR10912890.12,1,0,0,0,0.1111111111111111
SRR10912890.17,1,0,0,0,0.1111111111111111
SRR10912891.11,1,0,0,0,0.1111111111111111
SRR10912891.16,1,0,0,0,0.1111111111111111
SRR10912891.8,0,1,0,0,0.1111111111111111
SRR10912895.4,1,0,0,0,0.1111111111111111
SRR10912895.5,1,0,0,0,0.1111111111111111
SRR10912895.8,0,0,0,1,0.0
SRR10912896.2,1,0,0,0,0.1111111111111111
SRR10912896.3,1,0,0,0,0.1111111111111111
SRR10912896.5,0,0,0,1,0.0
SRR10912897.11,0,1,0,0,0.1111111111111111
SRR11563380.12,0,0,1,0,0.1111111111111111
SRR11563380.21,1,0,0,0,0.1111111111111111
SRR11563380.3,1,1,0,0,0.2222222222222222
SRR11563580.144,1,0,0,0,0.1111111111111111
SRR11563580.147,0,1,0,0,0.1111111111111111
SRR11563580.158,1,0,0,0,0.1111111111111111
SRR11563580.18,1,0,0,0,0.1111111111111111
SRR11563580.21,1,0,0,0,0.1111111111111111
SRR11563580.60,0,1,0,0,0.1111111111111111
SRR11563580.64,1,0,0,0,0.1111111111111111
SRR11563580.94,1,0,0,0,0.1111111111111111
SRR11624239.26,0,1,0,0,0.1111111111111111
SRR11624504.17,0,1,0,0,0.1111111111111111
SRR11624504.38,0,0,1,0,0.1111111111111111
SRR11625412.27,1,0,0,0,0.1111111111111111
SRR11658663.16,1,0,0,0,0.1111111111111111
SRR13153264.9,1,0,0,0,0.1111111111111111
SRR13153303.2,1,1,0,0,0.2222222222222222
SRR13153362.1,1,0,0,0,0.1111111111111111
SRR13153388.17,0,1,0,0,0.1111111111111111
SRR13153388.8,1,0,0,0,0.1111111111111111
SRR13153429.18,1,1,0,0,0.2222222222222222
SRR13153429.44,1,0,0,0,0.1111111111111111
SRR13153429.55,1,0,0,0,0.1111111111111111
SRR13153432.4,1,1,0,0,0.2222222222222222
SRR13153452.11,1,0,1,0,0.2222222222222222
SRR13153452.2,1,0,1,0,0.2222222222222222
SRR13153452.21,1,0,0,0,0.1111111111111111
SRR13153452.23,0,1,0,0,0.1111111111111111
SRR13153452.27,1,0,0,0,0.1111111111111111
SRR13153454.29,0,1,0,0,0.1111111111111111
SRR13153458.19,1,0,0,0,0.1111111111111111
SRR13153458.27,0,0,1,0,0.1111111111111111
SRR13153458.3,1,0,0,0,0.1111111111111111
SRR13153458.4,1,0,0,0,0.1111111111111111
SRR13153459.28,1,0,0,0,0.1111111111111111
SRR13153459.4,1,0,0,0,0.1111111111111111
SRR13153474.17,1,1,0,0,0.2222222222222222
SRR13153482.14,1,1,0,0,0.2222222222222222
SRR13153483.12,1,0,0,0,0.1111111111111111
SRR13153483.19,0,1,0,0,0.1111111111111111
SRR13153483.23,1,1,0,0,0.2222222222222222
SRR13153483.25,1,0,0,0,0.1111111111111111
SRR13153484.30,1,1,0,0,0.2222222222222222
SRR13153485.16,1,1,1,0,0.3333333333333333
SRR13153485.21,1,0,0,0,0.1111111111111111
SRR13153485.24,1,0,0,0,0.1111111111111111
SRR13153485.26,1,0,0,0,0.1111111111111111
SRR13153485.28,0,1,0,0,0.1111111111111111
SRR13153486.2,1,1,0,0,0.2222222222222222
SRR13153511.18,1,1,0,0,0.2222222222222222
SRR13153511.26,0,1,0,0,0.1111111111111111
SRR13153534.16,1,0,0,0,0.1111111111111111
SRR13153534.24,0,1,0,0,0.1111111111111111
SRR13153534.8,1,0,0,0,0.1111111111111111
SRR13153544.10,0,1,0,0,0.1111111111111111
SRR13153544.19,1,0,0,0,0.1111111111111111
SRR13153544.27,0,0,1,0,0.1111111111111111
SRR13153544.6,1,0,0,0,0.1111111111111111
SRR13153544.9,1,0,0,0,0.1111111111111111
SRR13153554.15,0,1,0,0,0.1111111111111111
SRR13153554.2,1,0,1,0,0.2222222222222222
SRR13153554.22,1,1,0,0,0.2222222222222222
SRR13153554.35,0,1,0,0,0.1111111111111111
SRR3233381.11,1,0,0,0,0.1111111111111111
SRR3233381.45,0,1,0,0,0.1111111111111111
SRR3233381.70,0,0,1,0,0.1111111111111111
SRR3233383.48,1,0,0,0,0.1111111111111111
SRR3233383.55,1,0,1,0,0.2222222222222222
SRR3233383.64,1,0,0,0,0.1111111111111111
SRR4004175.14,1,0,0,0,0.1111111111111111
SRR4004175.19,1,0,0,0,0.1111111111111111
SRR4004175.47,0,1,0,0,0.1111111111111111
SRR4004175.64,0,1,0,0,0.1111111111111111
SRR5262292.78,0,1,0,0,0.1111111111111111
SRR5262292.85,0,1,0,0,0.1111111111111111
SRR5262368.53,1,0,0,0,0.1111111111111111
SRR5262368.55,0,0,0,1,0.0
SRR5262368.6,0,1,0,0,0.1111111111111111
SRR5819239.109,1,0,0,0,0.1111111111111111
SRR5819239.121,0,1,0,0,0.1111111111111111
SRR5819239.150,0,1,0,0,0.1111111111111111
SRR5819239.155,0,1,0,0,0.1111111111111111
SRR5819239.159,1,0,0,0,0.1111111111111111
SRR5819239.163,0,1,0,0,0.1111111111111111
SRR5819239.171,1,0,0,0,0.1111111111111111
SRR5819239.20,1,0,0,0,0.1111111111111111
SRR5819239.40,0,1,0,0,0.1111111111111111
SRR5819239.51,1,0,0,0,0.1111111111111111
SRR5819239.7,1,1,0,0,0.2222222222222222
SRR5819239.79,1,0,0,0,0.1111111111111111
SRR5819240.21,0,1,0,0,0.1111111111111111
SRR5819241.14,1,0,0,0,0.1111111111111111
SRR5819241.25,0,1,0,0,0.1111111111111111
SRR5819241.34,1,0,0,7,0.1111111111111111
SRR5819241.35,0,0,1,0,0.1111111111111111
SRR5819241.50,0,0,1,0,0.1111111111111111
SRR5819241.58,0,1,0,0,0.1111111111111111
SRR5819381.22,0,0,1,0,0.1111111111111111
SRR5819381.25,1,0,1,0,0.2222222222222222
SRR5819381.32,0,0,1,0,0.1111111111111111
SRR5819381.36,1,0,0,7,0.1111111111111111
SRR5819381.62,0,1,0,0,0.1111111111111111
SRR5819383.118,0,1,0,0,0.1111111111111111
SRR5819383.12,0,1,0,0,0.1111111111111111
SRR5819383.131,1,0,0,0,0.1111111111111111
SRR5819383.141,1,0,0,0,0.1111111111111111
SRR5819383.151,0,1,0,0,0.1111111111111111
SRR5819383.24,0,1,0,0,0.1111111111111111
SRR5819383.51,0,1,0,0,0.1111111111111111
SRR5819383.54,1,0,0,0,0.1111111111111111
SRR5819383.69,0,1,0,0,0.1111111111111111
SRR5819383.76,1,1,0,0,0.2222222222222222
SRR5819383.84,0,1,0,0,0.1111111111111111
SRR5819552.44,0,0,1,0,0.1111111111111111
SRR5819552.48,0,0,1,0,0.1111111111111111
SRR5819552.64,0,1,0,0,0.1111111111111111
SRR5819552.72,0,1,0,0,0.1111111111111111
SRR5819552.77,0,1,0,0,0.1111111111111111
SRR5819594.35,1,0,0,0,0.1111111111111111
SRR5819595.1,0,1,0,0,0.1111111111111111
SRR5819595.35,1,0,0,0,0.1111111111111111
SRR5819595.39,1,0,0,0,0.1111111111111111
SRR5819595.42,1,0,0,0,0.1111111111111111
SRR5819595.63,1,0,0,0,0.1111111111111111
SRR5819595.66,0,0,0,1,0.0
SRR5819595.76,1,0,0,7,0.1111111111111111
SRR5819607.28,1,0,0,0,0.1111111111111111
SRR5819607.3,0,0,0,1,0.0
SRR5819607.33,1,1,0,0,0.2222222222222222
SRR5819607.45,1,0,0,0,0.1111111111111111
SRR5819607.61,1,0,0,0,0.1111111111111111
SRR5819607.78,0,1,0,0,0.1111111111111111
SRR5819607.87,0,0,1,0,0.1111111111111111
SRR5819754.20,1,0,0,0,0.1111111111111111
SRR5819754.21,0,1,0,0,0.1111111111111111
SRR5819754.25,0,0,1,0,0.1111111111111111
SRR5819754.3,0,0,1,0,0.1111111111111111
SRR5819754.33,1,0,0,0,0.1111111111111111
SRR5819754.66,1,0,1,0,0.2222222222222222
SRR5819754.71,1,0,0,0,0.1111111111111111
SRR5819754.78,0,1,0,0,0.1111111111111111
SRR5819848.10,0,1,0,0,0.1111111111111111
SRR5819848.34,0,0,1,0,0.1111111111111111
SRR5819848.38,0,1,0,0,0.1111111111111111
SRR5819848.54,1,0,0,0,0.1111111111111111
SRR5819848.58,0,1,0,0,0.1111111111111111
SRR5976591.11,0,0,1,0,0.1111111111111111
SRR5976591.24,1,0,0,0,0.1111111111111111
SRR5976591.32,1,0,1,0,0.2222222222222222
SRR5976592.32,1,0,0,0,0.1111111111111111
SRR5976592.9,0,0,1,0,0.1111111111111111
SRR5976594.27,1,0,1,0,0.2222222222222222
SRR5976595.19,0,0,1,0,0.1111111111111111
SRR7155205.12,0,0,0,1,0.0
SRR7155205.2,1,0,0,0,0.1111111111111111
SRR7155205.30,1,1,0,0,0.2222222222222222
SRR7155205.31,0,1,0,0,0.1111111111111111
SRR7155206.10,1,1,0,0,0.2222222222222222
SRR7155206.11,1,0,0,0,0.1111111111111111
SRR8436652.25,0,1,0,0,0.1111111111111111
SRR8437079.5,0,1,0,0,0.1111111111111111
SRR8437079.59,0,1,0,0,0.1111111111111111
SRR8437082.20,0,1,0,0,0.1111111111111111
SRR9019637.26,0,1,0,0,0.1111111111111111
SRR9019637.7,1,1,0,0,0.2222222222222222
SRR9019638.40,1,0,0,0,0.1111111111111111
SRR9019638.56,1,0,0,0,0.1111111111111111
SRR9019638.88,1,0,0,0,0.1111111111111111
SRR9019639.14,1,0,0,0,0.1111111111111111
SRR9019639.16,0,1,0,0,0.1111111111111111
SRR9019639.43,1,0,0,0,0.1111111111111111
SRR9019639.56,0,1,0,0,0.1111111111111111
SRR9019639.62,0,1,0,0,0.1111111111111111
SRR9019639.66,1,0,0,0,0.1111111111111111
SRR9019639.71,0,1,0,0,0.1111111111111111
SRR9019640.115,1,0,0,0,0.1111111111111111
SRR9019640.46,1,0,0,0,0.1111111111111111
SRR9019640.5,1,0,0,0,0.1111111111111111
SRR9019640.54,1,1,0,0,0.2222222222222222
SRR9019641.9,0,1,0,0,0.1111111111111111
SRR9019642.13,0,1,0,0,0.1111111111111111
SRR9019642.92,1,0,0,0,0.1111111111111111
SRR9019654.11,1,0,0,0,0.1111111111111111
SRR9019654.31,0,1,0,0,0.1111111111111111
SRR9019725.11,0,0,1,0,0.1111111111111111
SRR9019725.14,0,0,1,0,0.1111111111111111
SRR9019725.29,1,0,0,0,0.1111111111111111
SRR9019725.4,0,1,0,0,0.1111111111111111
SRR9019726.105,1,1,0,0,0.2222222222222222
SRR9019726.107,0,1,0,0,0.1111111111111111
SRR9019726.109,1,0,0,0,0.1111111111111111
SRR9019726.115,1,0,0,0,0.1111111111111111
SRR9019726.18,1,0,0,0,0.1111111111111111
SRR9019726.24,1,0,0,0,0.1111111111111111
SRR9019726.75,1,0,0,0,0.1111111111111111
SRR9019726.77,1,0,0,0,0.1111111111111111
SRR9019726.88,1,1,0,0,0.2222222222222222
SRR9019727.17,0,0,1,0,0.1111111111111111
SRR9019727.2,0,1,0,0,0.1111111111111111
SRR9019727.22,1,0,0,0,0.1111111111111111
SRR9019727.25,0,1,0,0,0.1111111111111111
SRR9019727.26,1,0,1,0,0.2222222222222222
SRR9019727.5,1,0,0,7,0.1111111111111111
SRR9019728.18,0,1,0,0,0.1111111111111111
SRR9019728.34,0,0,1,0,0.1111111111111111
SRR9019729.110,1,0,0,0,0.1111111111111111
SRR9019729.2,1,0,0,0,0.1111111111111111
SRR9019729.26,1,0,0,0,0.1111111111111111
SRR9019729.28,0,1,0,0,0.1111111111111111
SRR9019729.38,0,1,0,0,0.1111111111111111
SRR9019729.58,1,0,0,0,0.1111111111111111
SRR9019729.73,1,0,0,0,0.1111111111111111
SRR9019729.92,7,0,0,0,0.1111111111111111
SRR9019730.34,1,0,0,0,0.1111111111111111
SRR9019730.46,0,1,0,0,0.1111111111111111
SRR9019730.6,1,0,1,0,0.2222222222222222
SRR9019744.28,1,0,0,0,0.1111111111111111
SRR9019744.29,0,1,0,0,0.1111111111111111
SRR9019745.17,1,0,0,0,0.1111111111111111
SRR9019745.33,1,0,0,0,0.1111111111111111
